Name	Unified	DoCoMo	KDDI	Softbank	Google
	pig nose	U+1F43D	U+E755	U+EB48	U+E10B	U+FE1E0
	angry face	U+1F620	U+E6F1	U+E472	U+E059	U+FE320
	weary face	U+1F629	U+E6F3	U+EB67	U+E403	U+FE321
	astonished face	U+1F632	U+E6F4	U+EACA	U+E410	U+FE322
	disappointed face	U+1F61E	U+E6F2	U+EAC0	U+E058	U+FE323
	dizzy face	U+1F635	U+E6F4	U+E5AE	U+E406	U+FE324
	face with open mouth and cold sweat	U+1F630	U+E723	U+EACB	U+E40F	U+FE325
	unamused face	U+1F612	U+E725	U+EAC9	U+E40E	U+FE326
	smiling face with heart-shaped eyes	U+1F60D	U+E726	U+E5C4	U+E106	U+FE327
	face with look of triumph	U+1F624	U+E753	U+EAC1	U+E404	U+FE328
	face with stuck-out tongue and winking eye	U+1F61C	U+E728	U+E4E7	U+E105	U+FE329
	face with stuck-out tongue and tightly-closed eyes	U+1F61D	U+E728	U+E4E7	U+E409	U+FE32A
	face savouring delicious food	U+1F60B	U+E752	U+EACD	U+E056	U+FE32B
	face throwing a kiss	U+1F618	U+E726	U+EACF	U+E418	U+FE32C
	kissing face with closed eyes	U+1F61A	U+E726	U+EACE	U+E417	U+FE32D
	face with medical mask	U+1F637	-	U+EAC7	U+E40C	U+FE32E
	flushed face	U+1F633	U+E72A	U+EAC8	U+E40D	U+FE32F
	smiling face with open mouth	U+1F603	U+E6F0	U+E471	U+E057	U+FE330
	smiling face with open mouth and cold sweat	U+1F605	U+E722	U+E471 U+E5B1	U+E415 U+E331	U+FE331
	smiling face with open mouth and tightly-closed eyes	U+1F606	U+E72A	U+EAC5	U+E40A	U+FE332
	grinning face with smiling eyes	U+1F601	U+E753	U+EB80	U+E404	U+FE333
	face with tears of joy	U+1F602	U+E72A	U+EB64	U+E412	U+FE334
	smiling face with smiling eyes	U+1F60A	U+E6F0	U+EACD	U+E056	U+FE335
	white smiling face	U+263A	U+E6F0	U+E4FB	U+E414	U+FE336
	smiling face with open mouth and smiling eyes	U+1F604	U+E6F0	U+E471	U+E415	U+FE338
	crying face	U+1F622	U+E72E	U+EB69	U+E413	U+FE339
	loudly crying face	U+1F62D	U+E72D	U+E473	U+E411	U+FE33A
	fearful face	U+1F628	U+E757	U+EAC6	U+E40B	U+FE33B
	persevering face	U+1F623	U+E72B	U+EAC2	U+E406	U+FE33C
	pouting face	U+1F621	U+E724	U+EB5D	U+E416	U+FE33D
	relieved face	U+1F60C	U+E721	U+EAC5	U+E40A	U+FE33E
	confounded face	U+1F616	U+E6F3	U+EAC3	U+E407	U+FE33F
	pensive face	U+1F614	U+E720	U+EAC0	U+E403	U+FE340
	face screaming in fear	U+1F631	U+E757	U+E5C5	U+E107	U+FE341
	sleepy face	U+1F62A	U+E701	U+EAC4	U+E408	U+FE342
	smirking face	U+1F60F	U+E72C	U+EABF	U+E402	U+FE343
	face with cold sweat	U+1F613	U+E723	U+E5C6	U+E108	U+FE344
	disappointed but relieved face	U+1F625	U+E723	U+E5C6	U+E401	U+FE345
	tired face	U+1F62B	U+E72B	U+E474	U+E406	U+FE346
	winking face	U+1F609	U+E729	U+E5C3	U+E405	U+FE347
	smiling cat face with open mouth	U+1F63A	U+E6F0	U+EB61	U+E057	U+FE348
	grinning cat face with smiling eyes	U+1F638	U+E753	U+EB7F	U+E404	U+FE349
	cat face with tears of joy	U+1F639	U+E72A	U+EB63	U+E412	U+FE34A
	kissing cat face with closed eyes	U+1F63D	U+E726	U+EB60	U+E418	U+FE34B
	smiling cat face with heart-shaped eyes	U+1F63B	U+E726	U+EB65	U+E106	U+FE34C
	crying cat face	U+1F63F	U+E72E	U+EB68	U+E413	U+FE34D
	pouting cat face	U+1F63E	U+E724	U+EB5E	U+E416	U+FE34E
	cat face with wry smile	U+1F63C	U+E753	U+EB6A	U+E404	U+FE34F
	weary cat face	U+1F640	U+E6F3	U+EB66	U+E403	U+FE350
	face with no good gesture	U+1F645	U+E72F	U+EAD7	U+E423	U+FE351
	face with ok gesture	U+1F646	U+E70B	U+EAD8	U+E424	U+FE352
	person bowing deeply	U+1F647	-	U+EAD9	U+E426	U+FE353
	see-no-evil monkey	U+1F648	-	U+EB50	-	U+FE354
	speak-no-evil monkey	U+1F64A	-	U+EB51	-	U+FE355
	hear-no-evil monkey	U+1F649	-	U+EB52	-	U+FE356
	happy person raising one hand	U+1F64B	-	U+EB85	U+E012	U+FE357
	person raising both hands in celebration	U+1F64C	-	U+EB86	U+E427	U+FE358
	person frowning	U+1F64D	U+E6F3	U+EB87	U+E403	U+FE359
	person with pouting face	U+1F64E	U+E6F1	U+EB88	U+E416	U+FE35A
	person with folded hands	U+1F64F	-	U+EAD2	U+E41D	U+FE35B
	house building	U+1F3E0	U+E663	U+E4AB	U+E036	U+FE4B0
	house with garden	U+1F3E1	U+E663	U+EB09	U+E036	U+FE4B1
	office building	U+1F3E2	U+E664	U+E4AD	U+E038	U+FE4B2
	japanese post office	U+1F3E3	U+E665	U+E5DE	U+E153	U+FE4B3
	hospital	U+1F3E5	U+E666	U+E5DF	U+E155	U+FE4B4
	bank	U+1F3E6	U+E667	U+E4AA	U+E14D	U+FE4B5
	automated teller machine	U+1F3E7	U+E668	U+E4A3	U+E154	U+FE4B6
	hotel	U+1F3E8	U+E669	U+EA81	U+E158	U+FE4B7
	love hotel	U+1F3E9	U+E669 U+E6EF	U+EAF3	U+E501	U+FE4B8
	convenience store	U+1F3EA	U+E66A	U+E4A4	U+E156	U+FE4B9
	school	U+1F3EB	U+E73E	U+EA80	U+E157	U+FE4BA
	church	U+26EA	-	U+E5BB	U+E037	U+FE4BB
	fountain	U+26F2	-	U+E5CF	U+E121	U+FE4BC
	department store	U+1F3EC	-	U+EAF6	U+E504	U+FE4BD
	japanese castle	U+1F3EF	-	U+EAF7	U+E505	U+FE4BE
	european castle	U+1F3F0	-	U+EAF8	U+E506	U+FE4BF
	factory	U+1F3ED	-	U+EAF9	U+E508	U+FE4C0
	anchor	U+2693	U+E661	U+E4A9	U+E202	U+FE4C1
	izakaya lantern	U+1F3EE	U+E74B	U+E4BD	U+E30B	U+FE4C2
	mount fuji	U+1F5FB	U+E740	U+E5BD	U+E03B	U+FE4C3
	tokyo tower	U+1F5FC	-	U+E4C0	U+E509	U+FE4C4
	statue of liberty	U+1F5FD	-	-	U+E51D	U+FE4C6
	silhouette of japan	U+1F5FE	-	U+E572	-	U+FE4C7
	moyai	U+1F5FF	-	U+EB6C	-	U+FE4C8
	mans shoe	U+1F45E	U+E699	U+E5B7	U+E007	U+FE4CC
	athletic shoe	U+1F45F	U+E699	U+EB2B	U+E007	U+FE4CD
	high-heeled shoe	U+1F460	U+E674	U+E51A	U+E13E	U+FE4D6
	womans sandal	U+1F461	U+E674	U+E51A	U+E31A	U+FE4D7
	womans boots	U+1F462	-	U+EA9F	U+E31B	U+FE4D8
	footprints	U+1F463	U+E698	U+EB2A	U+E536	U+FE553
	eyeglasses	U+1F453	U+E69A	U+E4FE	-	U+FE4CE
	t-shirt	U+1F455	U+E70E	U+E5B6	U+E006	U+FE4CF
	jeans	U+1F456	U+E711	U+EB77	-	U+FE4D0
	crown	U+1F451	U+E71A	U+E5C9	U+E10E	U+FE4D1
	necktie	U+1F454	-	U+EA93	U+E302	U+FE4D3
	womans hat	U+1F452	-	U+EA9E	U+E318	U+FE4D4
	dress	U+1F457	-	U+EB6B	U+E319	U+FE4D5
	kimono	U+1F458	-	U+EAA3	U+E321	U+FE4D9
	bikini	U+1F459	-	U+EAA4	U+E322	U+FE4DA
	womans clothes	U+1F45A	U+E70E	U+E50D	U+E006	U+FE4DB
	purse	U+1F45B	U+E70F	U+E504	-	U+FE4DC
	handbag	U+1F45C	U+E682	U+E49C	U+E323	U+FE4F0
	pouch	U+1F45D	U+E6AD	-	-	U+FE4F1
	money bag	U+1F4B0	U+E715	U+E4C7	U+E12F	U+FE4DD
	currency exchange	U+1F4B1	-	-	U+E149	U+FE4DE
	chart with upwards trend and yen sign	U+1F4B9	-	U+E5DC	U+E14A	U+FE4DF
	heavy dollar sign	U+1F4B2	U+E715	U+E579	U+E12F	U+FE4E0
	credit card	U+1F4B3	-	U+E57C	-	U+FE4E1
	banknote with yen sign	U+1F4B4	U+E6D6	U+E57D	-	U+FE4E2
	banknote with dollar sign	U+1F4B5	U+E715	U+E585	U+E12F	U+FE4E3
	money with wings	U+1F4B8	-	U+EB5B	-	U+FE4E4
	regional indicator symbol letters cn	U+1F1E8 U+1F1F3	-	U+EB11	U+E513	U+FE4ED
	regional indicator symbol letters de	U+1F1E9 U+1F1EA	-	U+EB0E	U+E50E	U+FE4E8
	regional indicator symbol letters es	U+1F1EA U+1F1F8	-	U+E5D5	U+E511	U+FE4EB
	regional indicator symbol letters fr	U+1F1EB U+1F1F7	-	U+EAFA	U+E50D	U+FE4E7
	regional indicator symbol letters gb	U+1F1EC U+1F1E7	-	U+EB10	U+E510	U+FE4EA
	regional indicator symbol letters it	U+1F1EE U+1F1F9	-	U+EB0F	U+E50F	U+FE4E9
	regional indicator symbol letters jp	U+1F1EF U+1F1F5	-	U+E4CC	U+E50B	U+FE4E5
	regional indicator symbol letters kr	U+1F1F0 U+1F1F7	-	U+EB12	U+E514	U+FE4EE
	regional indicator symbol letters ru	U+1F1F7 U+1F1FA	-	U+E5D6	U+E512	U+FE4EC
	regional indicator symbol letters us	U+1F1FA U+1F1F8	-	U+E573	U+E50C	U+FE4E6
	fire	U+1F525	-	U+E47B	U+E11D	U+FE4F6
	electric torch	U+1F526	U+E6FB	U+E583	-	U+FE4FB
	wrench	U+1F527	U+E718	U+E587	-	U+FE4C9
	hammer	U+1F528	-	U+E5CB	U+E116	U+FE4CA
	nut and bolt	U+1F529	-	U+E581	-	U+FE4CB
	hocho	U+1F52A	-	U+E57F	-	U+FE4FA
	pistol	U+1F52B	-	U+E50A	U+E113	U+FE4F5
	crystal ball	U+1F52E	-	U+EA8F	U+E23E	U+FE4F7
	six pointed star with middle dot	U+1F52F	-	U+EA8F	U+E23E	U+FE4F8
	japanese symbol for beginner	U+1F530	-	U+E480	U+E209	U+FE044
	trident emblem	U+1F531	U+E71A	U+E5C9	U+E031	U+FE4D2
	syringe	U+1F489	-	U+E510	U+E13B	U+FE509
	pill	U+1F48A	-	U+EA9A	U+E30F	U+FE50A
	negative squared latin capital letter a	U+1F170	-	U+EB26	U+E532	U+FE50B
	negative squared latin capital letter b	U+1F171	-	U+EB27	U+E533	U+FE50C
	negative squared ab	U+1F18E	-	U+EB29	U+E534	U+FE50D
	negative squared latin capital letter o	U+1F17E	-	U+EB28	U+E535	U+FE50E
	ribbon	U+1F380	U+E684	U+E59F	U+E314	U+FE50F
	wrapped present	U+1F381	U+E685	U+E4CF	U+E112	U+FE510
	birthday cake	U+1F382	U+E686	U+E5A0	U+E34B	U+FE511
	christmas tree	U+1F384	U+E6A4	U+E4C9	U+E033	U+FE512
	father christmas	U+1F385	-	U+EAF0	U+E448	U+FE513
	crossed flags	U+1F38C	-	U+E5D9	U+E143	U+FE514
	fireworks	U+1F386	-	U+E5CC	U+E117	U+FE515
	balloon	U+1F388	-	U+EA9B	U+E310	U+FE516
	party popper	U+1F389	-	U+EA9C	U+E312	U+FE517
	pine decoration	U+1F38D	-	U+EAE3	U+E436	U+FE518
	japanese dolls	U+1F38E	-	U+EAE4	U+E438	U+FE519
	graduation cap	U+1F393	-	U+EAE5	U+E439	U+FE51A
	school satchel	U+1F392	-	U+EAE6	U+E43A	U+FE51B
